module,scenario_id,parameter_id,value,unit,source,confidence,notes
type_i_net_evaporation,estimated_lower,kp_free_water,0.7,fraction,Task 2 calculation book range,medium,
type_i_net_evaporation,estimated_lower,f_sal,0.94,fraction,Task 2 calculation book range,medium,
type_i_shadow,estimated_lower,mvr_equivalent_sec,15.0,kWh/m3,Task 2 calculation book SEC staircase,medium,"Technical upper-bound substitute, not observed municipal route"
energy_cost,estimated_lower,electricity_price,0.45,CNY/kWh,declared engineering scenario,low,Held constant over 1984-2024
type_i_net_evaporation,estimated_base,kp_free_water,0.75,fraction,Task 2 calculation book range,medium,
type_i_net_evaporation,estimated_base,f_sal,1.0,fraction,Task 2 calculation book range,medium,
type_i_shadow,estimated_base,mvr_equivalent_sec,20.0,kWh/m3,Task 2 calculation book SEC staircase,medium,"Technical upper-bound substitute, not observed municipal route"
energy_cost,estimated_base,electricity_price,0.65,CNY/kWh,declared engineering scenario,low,Held constant over 1984-2024
type_i_net_evaporation,estimated_upper,kp_free_water,0.8,fraction,Task 2 calculation book range,medium,
type_i_net_evaporation,estimated_upper,f_sal,1.0,fraction,Task 2 calculation book range,medium,
type_i_shadow,estimated_upper,mvr_equivalent_sec,25.0,kWh/m3,Task 2 calculation book SEC staircase,medium,"Technical upper-bound substitute, not observed municipal route"
energy_cost,estimated_upper,electricity_price,0.9,CNY/kWh,declared engineering scenario,low,Held constant over 1984-2024
type_ii_inputs,estimated_favorable,q_brine_multiplier,0.5,fraction,declared engineering scenario,low,
type_ii_inputs,estimated_favorable,available_land_fraction,0.02,fraction of park context area,declared engineering scenario,low,Park area is not treated as all available land
type_ii_net_evaporation,estimated_favorable,kp_free_water,0.8,fraction,Task 2 calculation book range,medium,
type_ii_inputs,estimated_base,q_brine_multiplier,1.0,fraction,declared engineering scenario,low,
type_ii_inputs,estimated_base,available_land_fraction,0.005,fraction of park context area,declared engineering scenario,low,Park area is not treated as all available land
type_ii_net_evaporation,estimated_base,kp_free_water,0.75,fraction,Task 2 calculation book range,medium,
